family,genus,group,SRLI_2024_analysis,WCVP_status,WCVP_accepted_name,WCVP_current_id,RL_2000,RL_2010,RL_2020,RL_2000_10yr,RL_2010_10yr,RL_2020_10yr,RL_2000_20yr,RL_2010_20yr,RL_2020_20yr,RL_2000_30yr,RL_2010_30yr,RL_2020_30yr,Status_change,stats_change_A
Araceae,Philodendron,Monocots,include,Accepted,Philodendron houlletianum Engl.,193069-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Poaceae,Phippsia,Monocots,include,Accepted,Phippsia algida (Sol.) R.Br.,415728-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Phleum,Monocots,include,Accepted,Phleum alpinum L.,415775-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Phleum,Monocots,include,Accepted,Phleum montanum K.Koch,415851-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Arecaceae,Pholidocarpus,Monocots,include,Accepted,Pholidocarpus majadum Becc.,668964-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Coelogyne,Monocots,exclude,Heterotypic_Synonym,Coelogyne chinensis (Lindl.) Rchb.f.,623804-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Orchidaceae,Coelogyne,Monocots,include,Homotypic_Synonym,Coelogyne camelostalix (Rchb.f.) Rchb.f.,623796-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Coelogyne,Monocots,include,Homotypic_Synonym,Coelogyne globosa (Blume) Rchb.f.,623877-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Phragmipedium,Monocots,include,Accepted,Phragmipedium lindenii (Lindl.) Dressler & N.H.Williams,1119571-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Phragmipedium,Monocots,include,Accepted,Phragmipedium vittatum (Vell.) Rolfe,987641-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Phreatia,Monocots,include,Accepted,Phreatia alpina J.J.Sm.,650737-1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Orchidaceae,Phreatia,Monocots,include,Accepted,Phreatia caudiflora Gilli,902759-1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Orchidaceae,Phreatia,Monocots,include,Accepted,Phreatia constricta Schltr.,77176765-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Phreatia,Monocots,include,Accepted,Phreatia plantaginifolia (J.Koenig) Ormerod,983173-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Phyllodium,Legumes,include,Accepted,Phyllodium elegans (Lour.) Desv.,514245-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Phyllodium,Legumes,include,Accepted,Phyllodium pulchellum (L.) Desv.,514252-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Phyllorachis,Monocots,include,Accepted,Phyllorachis sagittata Trimen,415977-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Phyllostachys,Monocots,include,Accepted,Phyllostachys carnea G.H.Ye & Z.P.Wang,938006-1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Poaceae,Phyllostachys,Monocots,exclude,Heterotypic_Synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Phyllota,Legumes,include,Accepted,Phyllota squarrosa (Sieber ex DC.) Benth.,514298-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Orchidaceae,Cynorkis,Monocots,include,Accepted,Cynorkis boryana (A.Rich.) Lindl.,625253-1,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,No_change,No_change
Fabaceae,Physostigma,Legumes,include,Accepted,Physostigma cylindrospermum (Welw. ex Baker) Holmes,514317-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Arecaceae,Pinanga,Monocots,include,Accepted,Pinanga forbesii Ridl.,669067-1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Arecaceae,Pinanga,Monocots,exclude,Heterotypic_Synonym,Pinanga sylvestris (Lour.) Hodel,1000880-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Arecaceae,Pinanga,Monocots,include,Accepted,Pinanga patula Blume,669121-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Arecaceae,Pinanga,Monocots,include,Accepted,Pinanga subruminata Becc.,669160-1,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,No_change,No_change
Fabaceae,Piptadenia,Legumes,include,Accepted,Piptadenia killipii J.F.Macbr.,199643-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Fabaceae,Pityrocarpa,Legumes,include,Accepted,Pityrocarpa leucoxylon (Barneby & J.W.Grimes) Luckow & R.W.Jobson,77085046-1,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Fabaceae,Piptadenia,Legumes,include,Accepted,Piptadenia micracantha Benth.,514411-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
