Species_name	Collection_ID	Specimen_ID	Voucher_information	Specimen_URL
Akebia quinata	K	-	Leon, C.J., Lin Y-L 484	
Akebia trifoliata	-	-	-	
Alafia barteri	-	-	-	
Alangium chinense	-	-	-	
Alangium faberi	-	-	-	
Alania cunninghamii	MEL	MEL 1605524A	Conveny, R.G. 15930	
Alatococcus siqueirae	K	-	Folli 1761	
Alatoseta tenuis	NBG	-	Manning, J. 3187	
Albertisia papuana	K	-	Chase, M.W. 1315	
Albidella oligococca	AD	AD99517059	G.N. Batianoff; S. Saltman 940927	
Albidella oligococca	-	-	-	
Albizia kalkora	K	-	TCMK 745754	
Alcantarea nigripetala	-	-	-	
Alchemilla glabra	K	-	Fay, M.F. 201	
Alchorneopsis floribunda	K	K001206107	Jansen-Jacobs, M.J.; Nic Lughadha, E. M.; ter Welle, B.J.H.;  Gopaul, D. 1856	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001206107
Aldrovanda vesiculosa	BRI	BRI AQ0876572	K.R. McDonald KRM14687	
Aldrovanda vesiculosa	-	-	-	
Alectra vogelii	-	-	-	
Alectryon carinatus	K	-	Munzinger 6743	
Aleisanthia rupestris	K	K001275083	Sands, M.J.S.; Stone, B.C. 3501	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275083
Aleisanthiopsis distantiflora	GB	-	Tange 46977	
Alepidea amatymbica	K	-	Chase, M.W. 6576	
Alepidea natalensis	K	-	Chase, M.W. 6527	
Aletris lutea	L	-	Anderson s.n. 	
Aleurites moluccanus	K	-	Ambriansyah & Arifin 953	
Alexfloydia repens	BRI	AQ0588890	Floyd, A.G. 2218	
Alexgeorgea nitens	NSW	NSW757968	B.G. Briggs 9855	
Algrizea macrochlamys	K	-	J.U. 404	
Algrizea minor	K	-	Faria, J.E.Q. 4157	
Alibertia latifolia	GB	-	Persson et al. 635	
Aliciella latifolia	K	K001275441	Alexander, A. M.; Kellog, L. 2678	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275441
Alisma plantago-aquatica	-	-	-	
Alistilus jumellei	K	K001275200	Du Puy, D.J.; Dreyer, J.; Andriantiana, J.; Rakotobe, A. M992	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275200
Alkanna orientalis	K	-	Davis 42140	
Alkekengi officinarum	-	-	-	
Alkekengi sp.	E	-	SD10	
Allamanda cathartica	-	-	-	
Allantoma lineata	K	-	Tree 119	
Allantospermum borneense	K	K001382195	Berau866	
Alliaria petiolata	-	-	-	
Allionia incarnata	-	-	-	
Allittia cardiocarpa	CANB	CANB 821998	Wood, J. 239	
Allium commutatum	-	-	-	
Allium sativum	-	-	-	
Allium tuberosum	-	-	-	
Allium ursinum	-	-	-	
Allium victorialis	-	-	-	
Allocassine laurifolia	PRE	-	Archer, R.H. 2126	
Alloeochaete gracillima	K	K001418282	Patel, I.H. 814	
Allomaieta hirsuta	HUA	-	David, H. 1563	
Alloneuron ulei	UPTC	-	Trujillo, E. 1173	
Allophylastrum frutescens	K	-	Lima 812	
Allophyllum gilioides	K	K001275442	Ewan, J.A. 11002	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275442
Allophylus sp.	K	-	Buerki, S. 164	
Alloplectus calochlamys	-	-	-	
Allopterigeron filifolius	CANB	CANB 495494	Dunlop, C.R.|Clarkson, J.R. 7933	
Alloschemone inopinata	MO	MO-1086437	Madison, M.T. 6310	
Alloschemone occidentalis	MO	MO-1435174	Sakuragui, C.M. 516	
Allospondias lakonensis	K	-	Pell 1035	
Allosyncarpia ternata	K	K000065804	Clark, M. 52	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065804
Alloteropsis semialata	MEL	MEL 2412216A	Forster, P.I. 44956	
Alloteropsis semialata	-	-	-	
Allowoodsonia whitmorei	K	K001334193	Gafui & collectors BSIP 18779	
Alloxylon flammeum	NSW	NSW884303	Peter H. Weston 3425	
Alluaudia ascendens	K	-	Chase, M.W. 2543	
Alluaudia procera	-	-	-	
Alluaudiopsis marnieriana	-	-	-	
Almaleea incurvata	MEL	MEL 2318138A	Johnstone, R. 1837	
Alniphyllum fortunei	K	K001275454	Tan, C.M. 951229	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275454
Alnus serrulata	-	-	-	
Alocasia odora	K	-	Chase, M.W. 10674	
Aloe marlothii	K	-	Maurin, O. 4316	
Aloe tormentorii	K	-	Maurin, O. 4315	
Aloe vera	-	-	-	
Aloe welwitschii	JRAU	-	Daru, B.H. 466	
Aloiampelos commixta	K	-	Maurin, O. 4318	
Aloidendron barberae	K	-	Maurin, O. 4317	
Aloinopsis luckhoffii	K	-	LD62	
Alonsoa meridionalis	BM	-	Christenhusz, M.J.M. 5348	
Alopecurus myosuroides	-	-	-	
Alophia silvestris	K	-	Rodríguez, A.;  Ortiz-Catedral, L. 3179	
Aloysia citrodora	-	-	-	
Aloysia deserticola	-	-	-	
Aloysia scorodonioides	K	-	Wood & Atahuachi 21575	
Alphandia resinosa	K	-	Mackee, H.S. 20742	
Alphitonia excelsa	K	-	Chase, M.W. 2179	
Alphonsea kinabaluensis	L	-	Couvreur, T.L.P. 820	
Alpinia elegans	K	-	Chase, M.W. 6172	
Alpinia oxyphylla	-	-	-	
Alpinia zerumbet	-	-	-	
Alrawia bellii	K	-	Chase, M.W. 1510	
Alseis floribunda	GB	-	Persson et al. 2247	
Alseodaphne semecarpifolia	K	K001275593	Sharma, B.D. 167444	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275593
Alseodaphnopsis petiolaris	-	-	-	
Alseuosmia banksii	K	-	Lange, P.J. de 5504	
Alshehbazia friesii	MO	-	H. Trinidad HT-2017	
Alsodeiopsis staudtii	-	-	-	
Alsomitra macrocarpa	K	-	Kerr, A.F.G. 18807	
Alstonia macrophylla	K	-	Matthew, K.M.;  Gastmans, W.F. 72866	
Alstonia scholaris	K	-	Chantaranothai, P., Middleton, D., Parnell, J.;  Simpson, D. 911	
Alstonia spectabilis	K	K000062334	Hoogland, R.D. 4252	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000062334
Alstroemeria aurea	K	-	Chase, M.W. 19990	
Alstroemeria pallida	K	-	Chase, M.W. 19989	
Alternanthera brasiliana	-	-	-	
Alternanthera caracasana	-	-	-	
Alternanthera ficoidea	-	-	-	
Alternanthera sessilis	-	-	-	
Althaea officinalis	-	-	-	
Althenia australis	K	K000203471	Drummond, J. 179	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000203471
Altoparadisium scabrum	K	K001393092	Wood, J.R.I.; Villarroel, D.; Pozo, P. 25107	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393092
Aluta aspera	K	-	Smith, R.J., Sweedman, L., Hopper, S., McQuoid, N.;  Garlett, R. 294	
Alvaradoa amorphoides	K	-	Castillo, J.J.;  Castillo, A. 2787	
