Species_name	Collection_ID	Specimen_ID	Voucher_information	Specimen_URL
Rhabdophyllum calophyllum	K	K001243466	Burgt, X.M. van da; Poveda, L.L.; Tchiengue, B.; Ngansop, E. 1931	
Rhabdothamnus solandri	-	-	-	
Rhadinothamnus rudis	K	-	Dixon, K. W. 1015	
Rhagadiolus stellatus	BC	-	Hidalgo, O.; Garnatje, T.; Luque, J. 273	
Rhammatophyllum fruticulosum	OSBU	-	Barbara Neuffer 14725	
Rhammatophyllum pseudoparrya	-	-	-	
Rhamnella vitiensis	K	K000062282	SAM Channel 303	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000062282
Rhamnidium elaeocarpum	K	K001078123	Stannard, B.L.; Harley, R.M.; Esteves, G.L.; Longhi-Wagner, H.M.; Arrais, M.G. CFCR/5909	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001078123
Rhamnoneuron balansae	K	K001275127	Tsang, W.T. 30758	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275127
Rhamnus japonica	-	-	-	
Rhamphicarpa australiensis	AD	AD173524	W.R. Barker 8072	
Rhamphospermum nigrum	-	-	-	
Rhaphidophora schottii	K	-	SKM 017	
Rhaphidospora cavernarum	CNS	CNS 136737	Jensen, R. 1998	
Rhaphiodon echinus	SPF	SPF00233414	Antar, G.M. 1274	
Rhaphiolepis bibas	K	-	Leon, C.J. & Lin, Y-L 218	
Rhaphiolepis bibas	-	-	-	
Rhaphiolepis indica	K	K001393263	Ding, X.-P. 22	
Rhapidophyllum hystrix	K	-	RBG Kew Living Collection 1967-1301	
Rhapis subtilis	K	-	Baker, W.J. s.n.; 1995-4001	
Rhaponticoides alpina	BC	-	Hidalgo, O. & al. 475	
Rhaptopetalum sp.	K	-	M Cheek 5109	
Rhazya stricta	-	-	-	
Rheum rhomboideum	-	-	-	
Rhexia virginica	NY	-	Michelangeli, F. A. 1448	
Rhigiocarya racemifera	K	K001286006	Ngansop, T.E.; Omosowon, S. 349	
Rhigospira quadrangularis	K	K001334224	Sothers 550	
Rhinacanthus gracilis	K	-	Chase, M.W. 14855	
Rhinephyllum graniforme	K	-	LD73	
Rhinerrhiza divitiflora	CANB	CANB 866241	M.A.Clements ORG7164	
Rhinotropis lindheimeri	FLAS	-	Abbott, J.R. 14516	
Rhipidocladum racemiflorum	-	-	-	
Rhipsalidopsis rosea	ZSS	ZSS-033031	de Vos, J.M. s.n. 	
Rhipsalis cereuscula	-	-	-	
Rhipsalis teres	GENT	20011223	JM de Vos s.n. 	
Rhizobotrya alpina	-	-	-	
Rhizocephalus orientalis	K	K001418197	Davis, H. 9135	
Rhizophora mangle	-	-	-	
Rhodalsine geniculata	K	K001275515	60.E.762	
Rhodamnia cinerea	K	-	Vasconcelos, T. 672	
Rhodanthe condensata	K	-	RBG Kew Living Collection 1990-2657	
Rhodanthe tietkensii	BC	-	Christenhusz, M.J.M 7752	
Rhodanthemum gayanum	K	-	RBG Kew Living Collection 1936-67803	
Rhodiola rosea	-	-	-	
Rhodiola rosea	K	K001400364	Kharkevich, S.; Buch, T. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400364
Rhodocactus stenanthus	ZSS	ZSS-033076	de Vos, J.M. s.n. 	
Rhododendron scopulorum	-	-	-	
Rhododendron tomentosum	-	-	-	
Rhodolaena humblotii	K	K001340960	Buerki, S. 142	
Rhodomyrtus tomentosa	K	-	Vasconcelos, T. 678	
Rhodosciadium purpureum	NY	-	H. H. Rusby 120	
Rhodoscirpus asper	GENT	-	ST. G. Beck 17399	
Rhodospatha sp.	NCY	NCY013835	Ferry, G. s.n.; 1999.3.238	
Rhodosphaera rhodanthema	CNS	QRS128713	Forster, P.I.; Booth, R. 25343	
Rhodostemonodaphne macrocalyx	K	K001275575	Cavalcanti, A.C.S. 28	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275575
Rhodothamnus chamaecistus	K	-	Chase, M.W. 887	
Rhoiacarpos capensis	K	K001275676	Jones, R.W. 3326 BC	
Rhomboda longifolia	K	K000079066	Hooker, J.D. 335	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000079066
Rhombophyllum dolabriforme	K	-	LD74	
Rhopaloblaste singaporensis	K	-	Baker, W.J. 1174	
Rhopalocarpus lucidus	K	-	Chase, M.W. 906	
Rhopalostylis baueri	K	-	Baker, W.J. 1193	
Rhus coriaria	K	-	E. Vitek 2000-301	
Rhus taitensis	K	-	Pell 841	
Rhynchanthera grandiflora	BH	-	Michelangeli, F. A. 541	
Rhynchanthus longiflorus	K	K001275925	H. 3936/61	
Rhynchocalyx lawsonioides	K	K001275143	Balkwill, K. 360	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275143
Rhynchoglossum gardneri	-	-	-	
Rhyncholacis jenmanii	K	-	Kelloff, C.L. 1231	
Rhyncholacis penicillata	-	-	-	
Rhynchophora phillipsonii	K	K000374073	Manjakahery, H.N.; Razanatsoa, J. 276	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000374073
Rhynchopsidium pumilum	PRE	PRE577390	Koekemoer, M. 2404	
Rhynchopsidium sp.	K	-	Goldblatt, P. & Manning, J.C. 12391	
Rhynchopyle loi	SAR	-	Wong Sin Yeng & P.C.Boyce AR-2638	
Rhynchoryza subulata	-	-	-	
Rhynchosia australis	NSW	NSW815558	A.R. Bean 27558	
Rhynchosia chrysoscias	K	K000556887	Scharf, H.T. 1433	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556887
Rhynchospora baldwinii	GENT	-	Larridon, I. et al. 2010-0112	
Rhynchospora gaudichaudii	K	-	Thomas, W.W. 14245	
Rhynchospora globosa	-	-	-	
Rhynchospora pubera	-	-	-	
Rhynchostylis retusa	K	K000546487	Rup Chand, T. 8377	
Rhynchotechum ellipticum	K	K000610659	Phuong, V. X. NHK612	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000610659
Rhynchotropis poggei	K	K000556888	Bingham, M.G. 11975	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556888
Rhysotoechia flavescens	K	-	Gray 4521	
Rhysotoechia robertsonii	K	-	Gray 5134	
Rhyssolobium dumosum	K	K000993537	van Jaarsveld, E.J. 2510	
Rhytachne megastachya	K	K001418271	Jongkind, C.C.H. 8333	
Rhytidocaulon macrolobum	MSUN	-	Noltee 1667	
Rhytidophyllum rupincola	-	-	-	
Rhytidophyllum tomentosum	-	-	-	
Rhytidophyllum vernicosum	-	-	-	
Rhytidosporum procumbens	NSW	NSW1001982	A. Orme, M. Duretto, T. Collins 1490	
Rhytidostemma sp.	K	-	Morillo s.n. 	
Ribes rubrum	K	K001275482	Sheahan, M.C. MCS 070	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275482
Ribes sp.	-	-	-	
Richardia scabra	GB	-	Persson & Gustafsson 222	
Richea dracophylla	HO	HO324650	Rozefelds, A.C. 546	
Richterago radiata	SPF	SPF00218850	Troncoso Oliveira, C.	
Richtersveldia columnaris	MSUN	-	Albers & Meve 30	
Ricinocarpos muricatus	K	-	Henderson, R.J. 3173	
Ricinodendron heudelotii	K	-	Molmou,D.;Couch, C.; Gandteka, A.; Kaba, S.;  Diallo, M.A. 86	
Ricinus communis	-	-	-	
Ricinus communis	K	-	Gillet, J.B.;  Watson, R.M. 23786	
Ricotia aucheri	-	-	-	
Ridolfia segetum	K	K001275333	Platt, J.W.O. 297	
Riedelia plectophylla	K	K000171715	Willis, F.R. 93	
Riedeliella graciliflora	K	K000556944	Pott, A.; Souza, O.C.; Crispim. S.M.A; Galdino, S. 5590	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556944
Rimacola elliptica	CBG	CBG 8505541	M.A.Clements 3889	
Rimacola elliptica	-	-	-	
Rinorea anguifera	-	-	-	
Rinorea guianensis	K	K001215589	de Lima, H.C. 4281	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001215589
Rinzia carnosa	K	K000065843	Schock, F.M.C. 122866	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065843
Riocreuxia torulosa	K	K000993538	la Croix, F.J 5095	
Riodocea pulcherrima	GB	-	Souza 245	
Ripogonum album	BNRH	-	Maurin, O. 4302	
Ristantia gouldii	K	K000566545	Sankowsky, G. 3885	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000566545
Rivina humilis	-	-	-	
Robeschia schimperi	HEID	-	Marcus Koch, Peter Sack 8000390	
Robinia hispida var. nana	UVSC	-	Egan, A.N. Dec-86	
Robinia pseudoacacia	-	-	-	
Robiquetia bifida	K	K000546431	Wenzel, C.A. s.n. 	
Robiquetia insectifera	K	K000546447	Comlier, J.B. 1139	
Robiquetia minahassae	K	K000546449	Lack, A.; Grimes, J. 1723	
Robiquetia succisa	K	K000546448	Hu, S.Y. 10849	
Robsonodendron eucleiforme	PRE	-	Archer, R.H. 2124	
Robynsiophyton vanderystii	K	K000556896	Richards, H.M. 18144	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556896
Rochelia sessiliflora	-	-	-	
Rockinghamia angustifolia	K	-	Foster, P.I. 28233	
Rodgersia podophylla	K	-	Chase, M.W. 38783	
Rodriguezia pubescens	K	-	ES096	
Roebuckiella halophila	PERTH	PERTH 7867980	Lyons, M.N. 4059	
Roepera aurantiaca	K	K001393219	Jeanes, J.A.; Hirst, M.; Roberts, D.; Walsh, N. 1712	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393219
Roepera crassissima	AD	AD242848	M.J. Thorpe; D.J. Duval 298	
Roepera eichleri	-	-	-	
Rogiera amoena	GB	-	Rova et al. 2409	
Rohdea japonica	K	-	Chase, M.W. 1101	
Rojasia gracilis	CTES	-	Digiacomo 274	
Roldana petasitis	BC	-	Hidalgo, O.; Palazzesi, L.;  Pellicer J. JBV-VI-2017-1	
Romanoa tamnoides	K	-	Demuner, V; et al. 2446	
Romanschulzia arabiformis	MO	-	McVaugh 13413A	
Romulea monadelpha	K	-	Goldblatt, P. 6230	
Rondeletia buxifolia	K	-	Hamilton, M. 296	
Rondonanthus capillaceus	K	K001393180	Wardack, K.J. 5691	
Rorida cornus-africani	K	K000370558	Thulin, M.; Abdi Dahir; Abdisalam Hassan. 9020	
Roridula gorgonias	K	-	Chase, M.W. 33140	
Roridula gorgonias	-	-	-	
Rorippa islandica	-	-	-	
Rorippa laciniata	AD	AD248718	D.J. Duval; J. Guerin 2182	
Rosa palustris	-	-	-	
Roscheria melanochaetes	K	-	Chase, M.W. 14843	
Roscoea cautleyoides	K	-	Chase, M.W. 19223	
Rosenbergiodendron longiflorum	GB	-	Persson & Grández 664	
Rostellularia adscendens var. pogonanthera	AD	AD224747	D.E. Murfet 6237	
Rostraria cristata	PERTH	PERTH 08975892	Mills, K.R. 859	
Rostrinucula dependens	K	-	Chase, M.W. 43074	
Rosularia sempervivum	K	K001400369	Rechinger, K.H. 39804	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400369
Rotala ramosior	MO	-	Stevens, W.D. 32464	
Rotheca myricoides	-	-	-	
Rothia hirsuta	K	K000556942	Saadou, M. 1798	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556942
Rothmannia annae	K	-	Chase, M.W. 15947	
Rottboellia cochinchinensis	MEL	MEL 2344198A	Jago, R.L. 7280	
Rottboellia rottboellioides	K	-	Barrett, M.D. 5002	
Rotula aquatica	K	K001243255	Momoh, J. 130	
Roucheria columbiana	K	-	Mori & Cardoso 17653	
Rourea balansana	K	-	Pillon Y. et al. 28	
Rourea coccinea	L	WAG.1441618	Jongkind, Holié;  Cherif 7728	
Rourea minor	K	-	Chase, M.W. 1221	
Rourea parviflora	L	WAG.1442218	van Valkenburg, Jongkind, Niangadouma;  Mabicka 2695	
Rourea thomsonii	L	WAG.1541466	Jongkind, Bosch, Mulbah, Bilivogui;  Balamou 11261	
Roussea simplex	K	-	Maurin, O. 4352	
Rousseauxia dionychoides	K	K001275173	Almeda, F.; Randiambololona, T.; Razanatzoa, J.; Almeda, S. 9418	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275173
Rousseauxia madagascariensis	CAS	-	Letsara, R.K. 830	
Rousselia humilis	K	-	Ekman, E.L. 4973	
Roycea pycnophylloides	PERTH	PERTH 9184252	Huhn, P.; Shepherd, K.A.; Thompson, W.A. PK_PH_062	
Roylea cinerea	K	K000479822	Overdorff, D. 45	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000479822
Roystonea regia	FTG	-	Baker, W.J. 996	
Ruagea glabra	K	-	Marten & Herrera 680	
Rubia peregrina	K	-	Chase, M.W. 10137	
Rubia tinctorum	-	-	-	
Rubus chingii	K	-	Leon, C.J., Lin Y-L, Zhou K -Y 502	
Rubus coreanus	-	-	-	
Rudbeckia hirta var. pulcherrima	BC	-	Christenhusz, M.J.M USA-VII-2017-4	
Rudgea stipulacea	K	K000578102	Zappi, D. 986	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000578102
Rudolf-kamelinia korolkowii	A	-	Bartholomew 8220	
Rudolfiella aurantiaca	K	-	Kaitima s.n. 	
Ruehssia carvalhoi	K	-	Chase, M.W. 17115	
Ruellia bignoniiflora	K	-	RBG Kew Living Collection 1969-2030	
Ruellia simplex	-	-	-	
Ruellia simplex	-	-	-	
Ruelliopsis setosa	K	K001295746	Tripp, E. 790	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295746
Rugoloa hylaeica	SI	SI-7207	Zuloaga, F.O. 6789	
Ruhooglandia hooglandii	K	K001418213	Webster, G.L.; Hildreth, R. 15230	
Ruizodendron ovale	L	-	Chatrou, L.W. 453	
Ruizterania belemnensis	TEX	-	Teixeira, L.O.A. 1667	
Ruizterania esmeraldae	TEX	-	Shimizu, G.H. s.n. 	
Rumex induratus	K	-	Chase, M.W. 925	
Rumex spinosus	K	-	Chase, M.W. 1016	
Rumfordia penninervis	-	-	-	
Rumicastrum sp.	K	K000374232	Lazarides, M.; Palmer, J. 434	
Rungia longifolia	K	K001446058	Cramer, L. 6713	
Rupicapnos africana	K	K001069595	SCLCP 472	
Rupichloa acuminata	K	K000979160	Carvalho, A.M.; Lewis, G.P.; Hage, J.L. 1007bis	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000979160
Rupiphila tachiroei	K	K000374053	Furuse, M. 37488	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000374053
Ruprechtia salicifolia	-	-	-	
Ruptiliocarpon caracolito	K	K000696190	Pennington, T 631	
Ruschia inconspicua	NBG	-	LD22	
Ruschianthus falcatus	NBG	-	LD57	
Ruscus sp.	-	-	-	
Ruspolia hypocrateriformis	K	-	IFE 7388	
Russelia sarmentosa	BM	-	Christenhusz, M.J.M. 5577	
Rustia schunkeana	GB	-	Persson et al. 3289	
Ruta graveolens	GOET	-	Appelhans MA578	
Ruthalicia eglandulosa	M	-	Schaefer, H.  2006/438	
Rutidosis helichrysoides	CANB	CANB 797345	Schmidt-Lebuhn, A.N. 1178	
Ruyschia phylladenia	K	K000251019	Pipoly, J.; Rodriquez, W.; Velez, J.; Alvarez, O. 17597	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000251019
Ryania speciosa	K	K000994362	McDowell, T. 3644	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994362
Ryparosa wrayi	K	K000370333	Tsen, E.; Harwood, B.; Harris-Wetherbee, S.; Noi ET00016	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370333
Ryticaryum longifolium	QRS	QRS 125457	Gray, B. 8632A	
Rytidosperma erianthum	AD	AD184551	L.M.B. Heard; S.M. Rothe BS162-3929	
Rytidosperma semiannulare	-	-	-	
Rzedowskia tolantonguensis	F	-	Ventura, E.; Lopez, E. 9025	
Saba comorensis	K	K000265648	Mpandzou 1425	
Sabal bermudana	-	-	-	
Sabal bermudana	K	K000297815	Greene, L. HS13	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000297815
Sabia pauciflora	K	K000606117	Takeuchi et al. 17061	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000606117
Sabinaria magnifica	COL	-	Bernal, R. 4949	
Sabulina tenuifolia	K	K001275759	Tedd, H.G. 2223	
Saccharum spontaneum	-	-	-	
Sacciolepis indica	K	Unmounted	Vorontsova, M.S. 1874	
Sacciolepis striata	-	-	-	
Saccolabiopsis armitii	CANB	CANB 670361	B.Gray 8103	
Sacleuxia newii	K	K000993539	Beentje, H.J.; Powys, G. 4065	
Sacoila pedicellata	K	K000573797	Hassler, E. 4311	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000573797
Sageraea lanceolata	P	-	Onstein, R.E. 63	
Sageretia thea	K	-	Collenette 993	
Sagina maritima	AD	AD110509	BS1-10212	
Sagina procumbens	K	K001275737	Thuihui-Red???? 12220	
Sagittaria aginashi	-	-	-	
Sagittaria latifolia	-	-	-	
Sagittaria subulata	-	-	-	
Sagotia racemosa	K	-	Smith, S.F. 232	
Saintpauliopsis lebrunii	K	K001446071	Lovett, J. 310	
Sakoanala villosa	K	K000556900	Capuron, R. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556900
Salacca bakeriana	K	-	Baker, W.J. 711	
Salacia alwynii	HRCB	-	Lombardi, J.A. 6333	
Salacia arborea	K	-	Chase, M.W. 2096	
Salacia erythrocarpa	BRI	-	Ford, A. 5000	
Salacia insignis	MO	-	Vasquez, R. 17884	
Salacia krigsneri	HRCB	-	Lombardi, J.A. 6687	
Salacighia letestuana	K	-	Fay, M.; Harris 8430	
Salaciopsis glomerata	BH	-	Simmons, M.P. 1895	
Salcedoa mirabaliarum	LP	-	Veloz 2383	
Saldinia aegialodes	K	-	Davis, A.P.; Rakotonasolo, F. 2713	
Salicornia europaea	-	-	-	
Salicornia pacifica	-	-	-	
Salicornia quinqueflora	PERTH	PERTH 8732655	Coppen, R.; Quinlan, K. 89	
Salix eriocephala	-	-	-	
Salix gmelinii	-	-	-	
Salix purpurea	-	-	-	
Salix udensis	-	-	-	
Salix viminalis	-	-	-	
Salomonia cantoniensis	K	-	Suzuki et al. 8881003	
Salomonia ciliata	PERTH	PERTH 8102007	RLB 4822	
Salpianthus purpurascens	-	-	-	
Salpichroa microloba	E	-	Gonzales, P. et al. 2879	
Salpiglossis sinuata	-	-	-	
Salpiglossis sinuata	E	-	Gardner et al.  83	
Salpinctium natalense	K	K001295753	Edwards, T.J. 8	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295753
Salpinga maranonensis	NY	-	Clark, J. L. 6979	
Salsola australis	PERTH	PERTH 9064664	Williams, C. TT044	
Salsola collina	-	-	-	
Saltugilia australis	-	-	-	
Saltugilia caruifolia	-	-	-	
Salvadora oleoides	-	-	-	
Salvadora persica	RB	RB00370741	M..P Nigans s.n. 	
Salvadoropsis sp.	PRE	-	Archer, R.H. 3004	
Salvertia convallariodora	TEX	-	Goncalves, D. 647	
Salvia aegyptiaca	K	K001208515	Nee, M. 52280	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001208515
Salvia rosmarinus	-	-	-	
Salvia sp.	-	-	-	
Salweenia wardii	K	K000556901	Sun, H.; Zhang, Y.; Li, G.; Wang, X. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556901
Samaipaticereus corroanus	ZSS	90 3741 /0	de Vos, J.M. s.n. 	
Samanea saman	-	-	-	
Sambucus canadensis	-	-	-	
Sambucus racemosa	-	-	-	
Samolus valerandi	K	K001400100	Barta, T. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400100
Samuelssonia verrucosa	K	K000529529	Ekman, E.L. 9232	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000529529
Sanango racemosum	-	-	-	
Sanchezia oblonga	K	-	RBG Kew Living Collection 1993-3242	
Sanchezia sp.	-	-	-	
Sandemania hoehnei	NY	-	Goldenberg, R. 1007	
Sandersonia aurantiaca	K	K001275392	Werdermann, E.; Oberdieck, H.-D. s.n. 	
Sandwithia guyanensis	K	-	Cowan, R.S.;  Soderstrom, T.R. 2212	
Sanguinaria canadensis	K	-	Maurin, O.; Freeth, T. 4426	
Sanguinaria canadensis	-	-	-	
Sanguisorba minor	-	-	-	
Sanguisorba officinalis	K	-	Leon, C.J., Lin Y-L,  Ye S-Q & Bai, Q B 425	
Sanicula elata	K	-	Forest, F. et al. 646	
Sanicula epipactis	K	K000994227	Weber, F. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994227
Sannantha crassa	K	K000065844	Johnstone, R.; Gannon, L. 3480	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065844
Sannantha virgata	K	K000065824	Veillon, J.M. 7498	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065824
Sanrafaelia ruffonammari	L	-	Couvreur, T.L.P. 6	
Santalum acuminatum	-	-	-	
Santalum album	K	-	RBGKewTissueBank 2014204	
Santolina chamaecyparissus	BC	-	Garnatje, T. 555	
Santolina elegans	-	-	-	
Sanvitalia procumbens	-	-	-	
Sapindus saponaria	K	-	Chase, M.W. 2136	
Sapium glandulosum	K	K000325460	Zappi, D.C.; Milliken, W.; Nic Lighadha, E.; Rando, J.; Biggs, N.;  Morales, L. 2490	
Saponaria officinalis	-	-	-	
Saposhnikovia divaricata	-	-	-	
Sapranthus viridiflorus	L	-	Maas, P.J.M. 9402	
Saraca declinata	K	-	Herendeen 28-IV-99-7	
Saracha punctata	BM	-	Knapp, S. et al  10389	
Saranthe leptostachya	K	-	Chase, M.W. 3866	
Sararanga sinuosa	K	-	Callmander, M.W.;  T.J. Gallaher 919	
Sarawakodendron filamentosum	L	-	Sibat ak Luang S.24506	
Sarcandra glabra	-	-	-	
Sarcandra glabra	K	-	Lin Y-L. & Xiao Hu 900	
Sarcanthemum coronopus	K	-	RBG Kew Living Collection 1984-4219	
Sarcanthopsis praealta	CBG	CBG 8901442	D.L.Jones 3586	
Sarcaulus brasiliensis	K	K001400207	Estrada, A.; Blanco, M.; Soto, R. 2297	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400207
Sarcobatus vermiculatus	-	-	-	
Sarcobatus vermiculatus	-	-	-	
Sarcocapnos enneaphylla	K	-	RBG Kew Living Collection 1985-4179	
Sarcocaulon marlothii	-	-	-	
Sarcochilus australis	K	K000546456	Cribb, P.J. 5175	
Sarcochilus chrysanthus	K	K000546459	Reeve, T.M. 1053	
Sarcochilus dilatatus	K	K000546457 	Bailey, F.M. s.n. 	
Sarcochilus falcatus	CBG	CBG 9219279	D.Mallinson 265	
Sarcochlamys pulcherrima	K	-	Grierson, A.J.C.;  Long, D.G. 1525	
Sarcodes sanguinea	-	-	-	
Sarcodes sanguinea	K	K001275424	Crosswhite, F.S.; Russell, N.H. 907	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275424
Sarcodum scandens	K	K000556873	Hiep, N.T.; Dao, N.K.; Anh, T.P. 206	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556873
Sarcoglyphis comberi	K	K000942458	Comber, J.B. 1173	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000942458
Sarcolaena multiflora	K	K001275478	Razakamalala, R.; Ranaivojaona, R.; Rogers, S. 1122	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275478
Sarcolobus vittatus	QRS	QRS 119313	Hyland, B. 16287	
Sarcomelicope simplicifolia	K	-	SEMJ 184	
Sarcopera tepuiensis	K	K001275438	Henkel, T.W.; Williams, R; Fratello, S.; Willians, L. 4426	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275438
Sarcopetalum harveyanum	BRI	BRI AQ0818875	P.I. Forster 38845	
Sarcophrynium brachystachyum	K	K001393078	Chase, M.W. 3927	
Sarcophyte sanguinea	K	K001393237	Ward, C.J. 9043	
Sarcopoterium spinosum	K	K000568844	Almafadi, H.; Borosova, R.; Ghazanfar, S.; Osborne, J.; Taifour, H.; Williams, E. BOTERA 42	
Sarcopteryx squamosa	BM	-	Brass 13801	
Sarcopyramis napalensis	NY	-	Kate Armstrong 743	
Sarcorrhiza epiphytica	K	K001334209	Eilu 205	
Sarcosperma laurinum	K	-	Zhiduan Chen 9812113	
Sarcotheca macrophylla	K	K000648329	Wilkie, P. 9542	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000648329
Sarcotoechia cuneata	K	-	Gray 2798	
Sarcozona sp.	NBG	-	LD25	
Sargentodoxa cuneata	-	-	-	
Saribus papuanus	K	K000209676	Baker, W.J. 851	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000209676
Sarmienta scandens	-	-	-	
Sarocalamus faberi	-	-	-	
Sarracenia purpurea	-	-	-	
Sartidia angolensis	-	-	-	
Saruma henryi	-	-	-	
Sasa veitchii	-	-	-	
Sasaella masamuneana	KUN	-	GZH087	
Sassafras albidum	-	-	-	
Satakentia liukiuensis	K	-	Pintaud, J.C. 447	
Satanocrater somalensis	K	-	Thulin, M. et al. 10098	
Satranala decussilvae	K	-	Beentje & Dransfield 4810	
Satureja thymbra	K	-	Chase, M.W. 19243	
Satyrium elongatum	K	K000416105	Carson 60	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000416105
Saurauia tristyla	-	-	-	
Sauromatum giganteum	K	-	Leon, C.J. et al 394	
Sauromatum venosum	K	-	Chase, M.W. 11778	
Saururus cernuus	-	-	-	
Saururus chinensis	K	-	Lin Y-L.;  Leon, C.J. 902	
Saussurea involucrata	-	-	-	
Saussurea polylepis	-	-	-	
Saussurea pricei	BCN	-	Valles, J. MO-33	
Sauvagesia erecta	K	K001271346	Pereira-Silva, G. 16200	
Savannosiphon euryphylla	K	-	Bolnick s.n.; 9828	
Savignya parviflora	L	L.1842080	Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa L.1842080	
Saxicolella sp.	K	-	Ameka, G. 478	
Saxifraga fortunei	K	-	JV_Sf	
Saxifraga geum	K	-	Chase, M.W. 38790.19695	
Saxifraga maderensis	K	-	JV_Sm	
Saxifraga stolonifera	-	-	-	
Saxipoa saxicola	MEL	MEL 2123183A	Walsh, N.G. 5535	
Saxofridericia spongiosa	K	K001393187	Huber, O. 5924	
Scabiosa columbaria	-	-	-	
Scabrethia scabra	K	-	RBG Kew Living Collection 2010-422	
Scadoxus multiflorus	K	-	Snijman, D. s.n.; 28302	
Scadoxus puniceus	K	-	Newitt, J. 4	
Scaevola plumieri	-	-	-	
Scaevola plumieri	SPFR	-	de Lima Ferreira, P. 83	
Scaevola sp.	-	-	-	
Scalesia affinis	K	-	Lena H.A.L.M.  49-6-1	
Scaligeria napiformis	K	K001275332	Townsend, C.C. 87/5	
Scambopus curvipes	AD	AD225630	D.J. Duval; T.S. Te 1087	
Scandix australis	K	K001275331	K001275331	
Scaphium macropodum	K	K000611089	Wilkie, P.; Panyarat, P.; Rat, P.; Si Ri, P.; Weep, T. 428	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000611089
Scaphocalyx spathacea	K	-	Yao et al FRI 74384	
Scaphopetalum thonneri	K	K001340994	Bos 3197	
Scepocarpus hypselodendron	K	-	Faden, R.B. et al. 85200	
Schaefferia shrevei	CS	-	Simmons, M.P.; Forbes, H. 1910	
Schaueria calytricha	K	-	RBG Kew Living Collection 1969-51834	
Schefflerodendron usambarense	K	K000556943	Semsei, S.R. 3165	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556943
Schelhammera undulata	MEL	MEL 2402357A	Stajsic, V. 8045	
Schenkia clementii	AD	AD209528	S. van Leeuwen 5096	
Scheuchzeria palustris	K	-	Fischer, M. et al. s.n.; 19614	
Scheuchzeria palustris	-	-	-	
Schiedea membranacea	-	-	-	
Schiedea trinervis	-	-	-	
