Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Juniperus grandis,NE,1.49,4.57,210,870
Encephalartos whitelockii,CR,1.47,4.5,211,881
Taiwania cryptomerioides,VU,1.47,87.2,212,9
Encephalartos woodii,EW,1.47,4.49,213,884
Cycas changjiangensis,EN,1.47,10.34,214,276
Ceratozamia huastecorum,CR,1.46,4.44,215,897
Ceratozamia zoquorum,CR,1.46,4.44,216,898
Cupressus vietnamensis,EN,1.46,10.21,217,281
Dacrydium comosum,EN,1.45,10.19,218,282
Dacrydium pectinatum,EN,1.44,10.01,219,291
Encephalartos hirsutus,CR,1.43,4.32,220,914
Juniperus mairei,NE,1.41,4.23,221,930
Cycas taitungensis,EN,1.4,9.67,222,314
Dacrydium nausoriense,EN,1.39,9.53,223,319
Podocarpus forrestii,NE,1.39,4.12,224,942
Encephalartos sclavoi,CR,1.38,4.11,225,944
Nageia maxima,EN,1.37,9.38,226,327
Ceratozamia euryphyllidia,CR,1.37,4.06,227,949
Ephedra equisetina,NE,1.36,4,228,958
Juniperus coxii,NE,1.34,3.95,229,967
Ceratozamia chimalapensis,NE,1.34,3.94,230,971
Ephedra procera,NE,1.33,3.89,231,980
Ceratozamia miqueliana,CR,1.33,3.88,232,982
Cycas lindstromii,EN,1.33,8.97,233,349
Calocedrus formosana,EN,1.32,8.94,234,350
Encephalartos dolomiticus,CR,1.31,3.83,235,993
Encephalartos nubimontanus,EW,1.31,3.83,236,994
Calocedrus rupestris,EN,1.31,8.82,237,355
Encephalartos equatorialis,CR,1.3,3.8,238,996
Cathaya argyrophylla,VU,1.29,72.43,239,12
Callitris sulcata,EN,1.28,8.59,240,368
Neocallitropsis pancheri,EN,1.28,8.59,241,369
Juniperus saxicola,CR,1.28,3.71,242,1003
Pinus torreyana,CR,1.28,3.69,243,1006
Abies yuanbaoshanensis,CR,1.26,3.65,244,1014
Cycas elongata,EN,1.24,8.26,245,383
Podocarpus macrocarpus,EN,1.24,8.23,246,386
Libocedrus yateensis,EN,1.24,8.2,247,389
Podocarpus longifoliolatus,EN,1.23,8.19,248,390
Pseudolarix amabilis,VU,1.23,68.65,249,13
Pseudotaxus chienii,VU,1.23,68.23,250,15
Zamia prasina,CR,1.22,3.51,251,1033
Zamia purpurea,CR,1.22,3.51,252,1034
Podocarpus buchii,EN,1.2,7.88,253,409
Podocarpus decipiens,NE,1.19,3.4,254,1037
Podocarpus degeneri,NE,1.19,3.39,255,1040
Podocarpus pendulifolius,EN,1.19,7.83,256,412
Afrocarpus usambarensis,EN,1.19,7.82,257,415
Podocarpus globulus,EN,1.18,7.72,258,422
Podocarpus confertus,EN,1.17,7.67,259,427
Macrozamia elegans,EN,1.16,7.6,260,429
Podocarpus humbertii,EN,1.16,7.6,261,432
Encephalartos relictus,EW,1.16,3.29,262,1049
Podocarpus purdieanus,EN,1.15,7.54,263,446
Pinus culminicola,EN,1.14,7.47,264,452
Encephalartos dyerianus,CR,1.13,3.2,265,1065
Encephalartos msinganus,CR,1.13,3.19,266,1067
Podocarpus sellowii,EN,1.13,7.34,267,464
Encephalartos laevifolius,CR,1.12,3.17,268,1070
Macrozamia spiralis,EN,1.11,7.25,269,476
Juniperus cedrus,EN,1.11,7.24,270,477
Zamia elegantissima,EN,1.1,7.14,271,487
Zamia dressleri,EN,1.08,7.03,272,494
Prumnopitys ladei,VU,1.08,58.72,273,23
Cycas elephantipes,EN,1.08,6.99,274,497
Juniperus bermudiana,CR,1.07,3.02,275,1082
Pinus georginae,NE,1.07,3.02,276,1084
Macrozamia flexuosa,EN,1.06,6.89,277,507
Podocarpus sprucei,EN,1.06,6.88,278,509
Zamia ipetiensis,EN,1.06,6.88,279,510
Podocarpus transiens,EN,1.04,6.76,280,531
Cycas javana,EN,1.04,6.74,281,535
Pinus maximartinezii,EN,1.02,6.57,282,554
Cycas hainanensis,EN,1.01,6.52,283,567
Cycas candida,EN,1,6.48,284,568
Zamia variegata,EN,0.99,6.42,285,572
Ceratozamia mixeorum,EN,0.99,6.4,286,573
Podocarpus polyspermus,EN,0.98,6.35,287,580
Cycas taiwaniana,EN,0.97,6.27,288,596
Picea omorika,EN,0.97,6.27,289,597
Macrozamia plurinervia,EN,0.96,6.22,290,606
Cycas circinalis,EN,0.96,6.21,291,608
Stangeria eriopus,VU,0.96,52.06,292,34
Cupressus dupreziana,EN,0.95,6.18,293,609
Cycas riuminiana,EN,0.95,6.14,294,617
Picea chihuahuana,EN,0.94,6.08,295,620
Zamia portoricensis,EN,0.92,5.95,296,641
Encephalartos arenarius,EN,0.92,5.95,297,642
Araucaria heterophylla,VU,0.91,49.5,298,40
Encephalartos horridus,EN,0.91,5.89,299,647
Cycas micronesica,EN,0.9,5.84,300,658
Prumnopitys andina,VU,0.9,49.02,301,41
Encephalartos delucanus,EN,0.88,5.75,302,666
Picea martinezii,EN,0.87,5.71,303,673
Zamia fischeri,EN,0.87,5.66,304,676
Cycas beddomei,EN,0.86,5.62,305,685
Picea maximowiczii,EN,0.86,5.6,306,689
Podocarpus rostratus,EN,0.86,5.6,307,692
Abies fanjingshanensis,EN,0.84,5.54,308,705
Zamia skinneri,EN,0.84,5.5,309,717
Ceratozamia norstogii,EN,0.83,5.47,310,725
Macrozamia pauli-guilielmi,EN,0.83,5.45,311,731
Zamia melanorrhachis,EN,0.82,5.43,312,736
Podocarpus nakaii,EN,0.82,5.39,313,742
Zamia lucayana,EN,0.8,5.32,314,749
Ceratozamia morettii,EN,0.79,5.25,315,756
