Site,Code,Country,Region,"Year of Identification (=date of final draft, or reviwed Version uploaded in the database)",note,Area (km2)
Mega,ETHTIPA017,ETH: Ethiopia,Amhara [Regional State],NOT YET,not finished in datbase,
Menagesha-Suba Forest,ETHTIPA004,ETH: Ethiopia,Oromia [Regional State],2021,Final Draft - Team info,
Menagesha-Suba Forest,,ETH: Ethiopia,,16/12/2021 07:29,publish,35
Mount Karkarha,ETHTIPA007,ETH: Ethiopia,"Southern Nations, Nationalities, and Peoples' [Regional State]",2021,Final Draft - Team info,
Mount Karkarha,,ETH: Ethiopia,,16/12/2021 07:32,publish,138
Shako-Bench Forest,ETHTIPA006,ETH: Ethiopia,"Southern Nations, Nationalities, and Peoples' [Regional State]",2021,Final Draft - Team info,
Shako-Bench Forest,,ETH: Ethiopia,,16/12/2021 07:35,publish,1114
Simen Mountains,ETHTIPA0016,ETH: Ethiopia,Amhara [Regional State],2024,Final Draft - Team info,
Werder,ETHTIPA011,ETH: Ethiopia,Somali [Regional State],2024,Final Draft - Team info,
Wof-Washa Forest,ETHTIPA009,ETH: Ethiopia,Amhara [Regional State],2021,Final Draft - Team info,
Wof-Washa Forest,,ETH: Ethiopia,,16/12/2021 07:39,publish,91.3
Yayu Forest,ETHTIPA008,ETH: Ethiopia,Oromia [Regional State],2024,Final Draft - Team info,
Yayu Forest,,ETH: Ethiopia,,26/04/2024 17:40,publish,1673
Bowal Tankon and Bowal Touppe Mama,,GUI: Guinea,,30/01/2025 12:09,publish,5
Bowal Tankon and Bowal Touppé Mama,GUITIPA001,GUI: Guinea,Dalaba [Prefecture],2019,Publication year,
DiekeClassified Forest,,GUI: Guinea,,26/11/2020 20:57,publish,640
DiékéClassified Forest,GUITIPA002,GUI: Guinea,Yomou [Prefecture],2019,Publication year,
Gbélén Forest,GUITIPA004,GUI: Guinea,Dubreka [Prefecture],2019,Publication year,
Gbelenn Forest,,GUI: Guinea,,26/11/2020 20:59,publish,14.5
GrandesChutesClassified Forest,GUITIPA005,GUI: Guinea,Kindia [Prefecture],2019,Publication year,
GrandesChutesClassified Forest,,GUI: Guinea,,26/11/2020 21:01,publish,160
