"","powo_id","family","genus","species","taxon_name","taxon_authors","RL.cat","EDGE.median","ED.median","lifeform_description","accepted_plant_name_id","group"
"31","261575-1","Pinaceae","Abies","mariesii","Abies mariesii","Mast.","LC",0.209702012,3.56756302,"tree",381874,"Gymnosperms"
"32","676593-1","Pinaceae","Abies","nebrodensis","Abies nebrodensis","(Lojac.) Mattei","CR",4.251277728,4.256958004,"tree",381902,"Gymnosperms"
"33","1029118-2","Pinaceae","Abies","nephrolepis","Abies nephrolepis","(Trautv.) Maxim.","LC",0.07605754,1.261802088,"tree",381905,"Gymnosperms"
"34","261599-1","Pinaceae","Abies","nordmanniana","Abies nordmanniana","(Steven) Spach","LC",0.048561985,0.842865321,"tree",381919,"Gymnosperms"
"35","261601-1","Pinaceae","Abies","numidica","Abies numidica","de Lannoy ex Carrière","CR",0.641732422,0.690438777,"tree",381929,"Gymnosperms"
"36","676605-1","Pinaceae","Abies","pindrow","Abies pindrow","(Royle ex D.Don) Royle","LC",0.106304466,1.8337232,"tree",381960,"Gymnosperms"
"37","676606-1","Pinaceae","Abies","pinsapo","Abies pinsapo","Boiss.","EN",0.410602778,0.848681939,"tree",381963,"Gymnosperms"
"38","676607-1","Pinaceae","Abies","procera","Abies procera","Rehder","LC",0.174193153,3.180362396,"tree",381974,"Gymnosperms"
"39","676609-1","Pinaceae","Abies","recurvata","Abies recurvata","Mast.","VU",0.465258924,1.88936,"tree",381978,"Gymnosperms"
"40","261625-1","Pinaceae","Abies","religiosa","Abies religiosa","(Kunth) Schltdl. & Cham.","LC",0.071778595,1.124843757,"tree",381982,"Gymnosperms"
"41","261629-1","Pinaceae","Abies","sachalinensis","Abies sachalinensis","(F.Schmidt) Mast.","LC",0.039546413,0.598573017,"tree",381990,"Gymnosperms"
"42","261635-1","Pinaceae","Abies","sibirica","Abies sibirica","Ledeb.","LC",0.049844819,0.880138,"tree",382001,"Gymnosperms"
"43","60474520-2","Pinaceae","Abies","spectabilis","Abies spectabilis","(D.Don) Mirb.","NT",0.276312839,2.271456579,"tree",382014,"Gymnosperms"
"44","676617-1","Pinaceae","Abies","squamata","Abies squamata","Mast.","VU",0.665441825,2.691439659,"tree",382019,"Gymnosperms"
"45","261656-1","Pinaceae","Abies","veitchii","Abies veitchii","Lindl.","LC",0.08566297,1.569169,"tree",382044,"Gymnosperms"
"46","676624-1","Pinaceae","Abies","vejarii","Abies vejarii","Martínez","NT",0.163187585,1.316388637,"tree",382049,"Gymnosperms"
"47","676629-1","Pinaceae","Abies","yuanbaoshanensis","Abies yuanbaoshanensis","Y.J.Lu & L.K.Fu","CR",0.283489336,0.288578751,"tree",382065,"Gymnosperms"
"48","676630-1","Pinaceae","Abies","ziyuanensis","Abies ziyuanensis","L.K.Fu & S.L.Mo","EN",0.75522089,1.499278,"tree",382068,"Gymnosperms"
"49","828258-1","Podocarpaceae","Acmopyle","pancheri","Acmopyle pancheri","(Brongn. & Gris) Pilg.","LC",4.469132728,82.90890327,"tree",382074,"Gymnosperms"
"50","828259-1","Podocarpaceae","Acmopyle","sahniana","Acmopyle sahniana","Buchholz & N.E.Gray","CR",30.33005201,32.52186058,"tree",382075,"Gymnosperms"
"51","946477-1","Podocarpaceae","Afrocarpus","dawei","Afrocarpus dawei","(Stapf) C.N.Page","NT",0.191021672,1.670152235,"tree",382085,"Gymnosperms"
"52","946473-1","Podocarpaceae","Afrocarpus","falcatus","Afrocarpus falcatus","(Thunb.) C.N.Page","LC",0.161679523,2.761779096,"tree",382086,"Gymnosperms"
"53","946474-1","Podocarpaceae","Afrocarpus","gracilior","Afrocarpus gracilior","(Pilg.) C.N.Page","LC",0.2226642,3.693685095,"tree",382088,"Gymnosperms"
"54","946475-1","Podocarpaceae","Afrocarpus","mannii","Afrocarpus mannii","(Hook.f.) C.N.Page","EN",1.563321452,3.413259764,"tree",382089,"Gymnosperms"
"55","946476-1","Podocarpaceae","Afrocarpus","usambarensis","Afrocarpus usambarensis","(Pilg.) C.N.Page","EN",0.431070801,0.946808128,"tree",382090,"Gymnosperms"
"56","92689-1","Araucariaceae","Agathis","atropurpurea","Agathis atropurpurea","Hyland","NT",1.101199504,9.18704006,"tree",4505,"Gymnosperms"
"57","261668-1","Araucariaceae","Agathis","australis","Agathis australis","(D.Don) Lindl.",NA,12.35612056,56.65608289,"tree",4506,"Gymnosperms"
"58","676636-1","Araucariaceae","Agathis","borneensis","Agathis borneensis","Warb.","EN",4.381793124,9.027090308,"tree",4509,"Gymnosperms"
"59","676633-1","Araucariaceae","Agathis","alba","Agathis alba","(Rumph. ex Valmont) Foxw.","VU",2.023350912,8.643286286,"tree",4504,"Gymnosperms"
"60","676640-1","Araucariaceae","Agathis","flavescens","Agathis flavescens","Ridl.","VU",2.710955842,9.827266578,"tree",4517,"Gymnosperms"
"61","92691-1","Araucariaceae","Agathis","kinabaluensis","Agathis kinabaluensis","de Laub.","EN",5.33199561,10.6940855,"tree",4520,"Gymnosperms"
"62","676643-1","Araucariaceae","Agathis","labillardierei","Agathis labillardierei","Warb.",NA,2.777779143,9.716411093,"tree",4521,"Gymnosperms"
"63","676644-1","Araucariaceae","Agathis","lanceolata","Agathis lanceolata","Warb.","VU",2.225332432,9.025989887,"tree",4522,"Gymnosperms"
"64","92692-1","Araucariaceae","Agathis","lenticula","Agathis lenticula","de Laub.","VU",2.777180329,11.73977606,"tree",4524,"Gymnosperms"
"65","676647-1","Araucariaceae","Agathis","macrophylla","Agathis macrophylla","(Lindl.) Mast.","VU",1.442223492,6.053699187,"tree",4526,"Gymnosperms"
